Ticker,Date,Price,Open,High,Low,ChangePercent
US6MO,2017-03-13,0.924,0.876,0.927,0.876,0.037
US6MO,2017-03-12,0.891,0.891,0.891,0.891,0
US6MO,2017-03-10,0.891,0.876,0.896,0.876,0.0091
US6MO,2017-03-09,0.883,0.855,0.888,0.855,0.0173
US6MO,2017-03-08,0.868,0.853,0.878,0.848,0.0152
US6MO,2017-03-07,0.855,0.84,0.865,0.84,0.0154
US6MO,2017-03-06,0.842,0.819,0.85,0.819,0.0148
US6MO,2017-03-05,0.83,0.835,0.835,0.83,-0.0028
US6MO,2017-03-03,0.832,0.832,0.85,0.814,0
US6MO,2017-03-02,0.832,0.832,0.863,0.804,0.0585
US6MO,2017-03-01,0.786,0.766,0.804,0.74,0.1197
US6MO,2017-02-28,0.702,0.689,0.791,0.682,0.0263
US6MO,2017-02-27,0.684,0.666,0.687,0.659,0.0425
US6MO,2017-02-26,0.656,0.659,0.659,0.656,0.0047
US6MO,2017-02-24,0.653,0.651,0.661,0.605,-0.0166
US6MO,2017-02-23,0.664,0.669,0.687,0.659,-0.0148
US6MO,2017-02-22,0.674,0.689,0.7,0.671,0.0075
US6MO,2017-02-21,0.669,0.664,0.676,0.651,0.0119
US6MO,2017-02-20,0.661,0.664,0.664,0.661,-0.0044
US6MO,2017-02-17,0.664,0.646,0.669,0.646,0.0076
US6MO,2017-02-16,0.659,0.661,0.648,0.654,-0.0149
US6MO,2017-02-15,0.669,0.664,0.674,0.661,0.0075
US6MO,2017-02-14,0.664,0.661,0.674,0.651,0.0279
US6MO,2017-02-13,0.646,0.633,0.656,0.633,0.0042
US6MO,2017-02-12,0.643,0.646,0.646,0.643,0
US6MO,2017-02-10,0.643,0.633,0.648,0.631,0.011
US6MO,2017-02-09,0.636,0.62,0.641,0.62,0.0176
US6MO,2017-02-08,0.625,0.626,0.664,0.62,-0.0095
US6MO,2017-02-07,0.631,0.62,0.669,0.62,0.0096
US6MO,2017-02-06,0.625,0.636,0.646,0.623,-0.0167
US6MO,2017-02-05,0.636,0.636,0.636,0.636,0.0041
US6MO,2017-02-03,0.633,0.638,0.666,0.628,-0.0078
US6MO,2017-02-02,0.638,0.656,0.699,0.628,-0.02
US6MO,2017-02-01,0.651,0.641,0.72,0.631,0.0156
US6MO,2017-01-31,0.641,0.625,0.685,0.636,0.0158
US6MO,2017-01-30,0.631,0.623,0.643,0.62,0.0172
US6MO,2017-01-29,0.62,0.628,0.628,0.62,-0.0123
US6MO,2017-01-27,0.628,0.61,0.633,0.61,0.0211
US6MO,2017-01-26,0.615,0.608,0.687,0.605,0.0082
US6MO,2017-01-25,0.61,0.613,0.71,0.605,-0.0049
US6MO,2017-01-24,0.613,0.608,0.623,0.605,0.0082
US6MO,2017-01-23,0.608,0.61,0.631,0.608,-0.0117
US6MO,2017-01-22,0.615,0.615,0.618,0.615,-0.0045
US6MO,2017-01-20,0.618,0.615,0.633,0.613,-0.008
US6MO,2017-01-19,0.623,0.615,0.628,0.615,0.0081
US6MO,2017-01-18,0.618,0.615,0.628,0.615,0.0164
US6MO,2017-01-17,0.608,0.608,0.615,0.592,-0.0034
US6MO,2017-01-16,0.61,0.613,0.613,0.61,0.0035
US6MO,2017-01-13,0.608,0.59,0.613,0.59,0.0218
US6MO,2017-01-12,0.595,0.597,0.608,0.59,-0.0083
US6MO,2017-01-11,0.6,0.603,0.608,0.595,-0.005
US6MO,2017-01-10,0.603,0.603,0.659,0.6,0.0397
US6MO,2017-01-09,0.58,0.613,0.613,0.58,-0.0493
US6MO,2017-01-08,0.61,0.61,0.61,0.61,0
US6MO,2017-01-06,0.61,0.613,0.715,0.608,-0.0129
US6MO,2017-01-05,0.618,0.628,0.819,0.615,-0.0283
US6MO,2017-01-04,0.636,0.638,0.735,0.628,0.0209
US6MO,2017-01-03,0.623,0.641,0.641,0.62,0
